number,operation,volume,number_client_pool,number_server_pool,time_client,throughput_client,client_success,client_fail,server_success,server_fail
1,download,10MB.bin,1,1,0.26,39573126.83,1,0,1,0
2,download,10MB.bin,5,1,0.52,26106792.94,5,0,5,0
3,download,10MB.bin,50,1,5.43,4684927.45,50,0,50,0
4,download,50MB.bin,1,1,2.54,20638296.2,1,0,1,0
5,download,50MB.bin,5,1,7.11,9825807.88,5,0,5,0
6,download,50MB.bin,50,1,43.68,2257296.64,50,0,50,0
7,download,100MB.bin,1,1,7.35,13672370.75,1,0,1,0
8,download,100MB.bin,5,1,19.42,2580363.22,5,0,5,0
9,download,100MB.bin,50,1,122.57,813993.42,50,0,50,0
10,upload,10MB.bin,1,1,0.21,49881213.1,1,0,1,0
11,upload,10MB.bin,5,1,0.76,15527017.7,5,0,5,0
12,upload,10MB.bin,50,1,6.19,1940008.3,50,0,50,0
13,upload,50MB.bin,1,1,2.43,21619628.88,1,0,1,0
14,upload,50MB.bin,5,1,7.73,8145426.6,5,0,5,0
15,upload,50MB.bin,50,1,83.71,806964.42,49,1,49,1
16,upload,100MB.bin,1,1,8.72,12103548.23,1,0,1,0
17,upload,100MB.bin,5,1,25.63,3892742.67,4,1,4,1
18,upload,100MB.bin,50,1,137.89,753812.45,47,3,47,3
19,list,10MB.bin,1,1,0.02,0.01,1,0,1,0
20,list,10MB.bin,5,1,0.0,0.01,5,0,5,0
21,list,10MB.bin,50,1,0.0,0.01,50,0,50,0
22,list,50MB.bin,1,1,0.01,0.01,1,0,1,0
23,list,50MB.bin,5,1,0.01,0.01,5,0,5,0
24,list,50MB.bin,50,1,0.01,0.01,50,0,50,0
25,list,100MB.bin,1,1,0.02,0.01,1,0,1,0
26,list,100MB.bin,5,1,0.0,0.01,5,0,5,0
27,list,100MB.bin,50,1,0.0,0.01,50,0,50,0
28,download,10MB.bin,1,5,0.36,29228610.18,1,0,1,0
29,download,10MB.bin,5,5,0.72,19550756.36,5,0,5,0
30,download,10MB.bin,50,5,5.6,3603852.41,50,0,50,0
31,download,50MB.bin,1,5,2.21,23677258.54,1,0,1,0
32,download,50MB.bin,5,5,5.71,12852900.56,5,0,5,0
33,download,50MB.bin,50,5,50.03,2003111.32,50,0,50,0
34,download,100MB.bin,1,5,7.12,14123485.79,1,0,1,0
35,download,100MB.bin,5,5,22.87,4378921.34,5,0,5,0
36,download,100MB.bin,50,5,138.55,721045.87,48,2,48,2
37,upload,10MB.bin,1,5,0.24,44038287.38,1,0,1,0
38,upload,10MB.bin,5,5,0.77,15207434.66,5,0,5,0
39,upload,10MB.bin,50,5,6.69,1810408.07,50,0,50,0
40,upload,50MB.bin,1,5,3.23,16244788.69,1,0,1,0
41,upload,50MB.bin,5,5,9.19,6809513.02,5,0,5,0
42,upload,50MB.bin,50,5,92.33,756558.66,50,0,50,0
43,upload,100MB.bin,1,5,6.48,15397642.19,1,0,1,0
44,upload,100MB.bin,5,5,18.22,5468375.84,4,1,4,1
45,upload,100MB.bin,50,5,130.87,761245.37,46,4,46,4
46,list,10MB.bin,1,5,0.03,0.01,1,0,1,0
47,list,10MB.bin,5,5,0.01,0.01,5,0,5,0
48,list,10MB.bin,50,5,0.0,0.01,50,0,50,0
49,list,50MB.bin,1,5,0.01,0.01,1,0,1,0
50,list,50MB.bin,5,5,0.0,0.01,5,0,5,0
51,list,50MB.bin,50,5,0.01,0.01,50,0,50,0
52,list,100MB.bin,1,5,0.01,0.01,1,0,1,0
53,list,100MB.bin,5,5,0.0,0.01,5,0,5,0
54,list,100MB.bin,50,5,0.0,0.01,50,0,50,0
55,download,10MB.bin,1,50,0.33,31643103.75,1,0,1,0
56,download,10MB.bin,5,50,0.58,24947658.08,5,0,5,0
57,download,10MB.bin,50,50,4.77,4495960.95,50,0,50,0
58,download,50MB.bin,1,50,2.46,21331887.83,1,0,1,0
59,download,50MB.bin,5,50,6.6,10060099.01,5,0,5,0
60,download,50MB.bin,50,50,44.81,2181659.06,50,0,50,0
61,download,100MB.bin,1,50,7.89,13421772.43,1,0,1,0
62,download,100MB.bin,5,50,19.44,5443221.75,4,1,4,1
63,download,100MB.bin,50,50,138.22,765431.02,47,3,47,3
64,upload,10MB.bin,1,50,0.31,33435075.68,1,0,1,0
65,upload,10MB.bin,5,50,1.14,10616717.26,5,0,5,0
66,upload,10MB.bin,50,50,7.77,1542057.14,50,0,50,0
67,upload,50MB.bin,1,50,4.3,12202294.12,1,0,1,0
68,upload,50MB.bin,5,50,14.36,4744297.91,5,0,5,0
69,upload,50MB.bin,50,50,103.39,545367.56,46,4,46,4
70,upload,100MB.bin,1,50,12.45,6054321.77,1,0,1,0
71,upload,100MB.bin,5,50,31.67,3343589.42,4,1,4,1
72,upload,100MB.bin,50,50,180.23,471234.55,47,3,47,3
73,list,10MB.bin,1,50,0.02,0.01,1,0,1,0
74,list,10MB.bin,5,50,0.0,0.01,5,0,5,0
75,list,10MB.bin,50,50,0.0,0.01,50,0,50,0
76,list,50MB.bin,1,50,0.0,0.01,1,0,1,0
77,list,50MB.bin,5,50,0.0,0.01,5,0,5,0
78,list,50MB.bin,50,50,0.01,0.01,50,0,50,0
79,list,100MB.bin,1,50,0.01,0.01,1,0,1,0
80,list,100MB.bin,5,50,0.01,0.01,5,0,5,0
81,list,100MB.bin,50,50,0.0,0.01,50,0,50,0
