number,operation,volume,number_client_pool,number_server_pool,time_client,throughput_client,client_success,client_fail,server_success,server_fail
1,download,10MB.bin,1,1,0.38,27871211.47,1,0,1,0
2,download,10MB.bin,5,1,0.67,19745911.27,5,0,5,0
3,download,10MB.bin,50,1,6.71,3453010.76,50,0,50,0
4,download,50MB.bin,1,1,2.46,21314009.37,1,0,1,0
5,download,50MB.bin,5,1,6.35,10673072.79,5,0,5,0
6,download,50MB.bin,50,1,47.91,2279635.01,50,0,50,0
7,download,100MB.bin,1,1,4.83,17363033.12,1,0,1,0
8,download,100MB.bin,5,1,8.96,9359232.14,5,0,5,0
9,download,100MB.bin,50,1,68.41,1226219.48,50,0,50,0
10,upload,10MB.bin,1,1,0.3,35441878.6,1,0,1,0
11,upload,10MB.bin,5,1,0.97,12161886.29,5,0,5,0
12,upload,10MB.bin,50,1,8.56,1421511.04,50,0,50,0
13,upload,50MB.bin,1,1,3.53,14848764.04,1,0,1,0
14,upload,50MB.bin,5,1,11.91,5427561.44,5,0,5,0
15,upload,50MB.bin,50,1,104.69,640121.84,50,0,50,0
16,upload,100MB.bin,1,1,6.72,12480827.98,1,0,1,0
17,upload,100MB.bin,5,1,32.41,3342747.40,4,1,4,1
18,upload,100MB.bin,50,1,185.38,669035.98,35,15,35,15
19,list,10MB.bin,1,1,0.01,0.01,1,0,1,0
20,list,10MB.bin,5,1,0.0,0.01,5,0,5,0
21,list,10MB.bin,50,1,0.01,0.01,50,0,50,0
22,list,50MB.bin,1,1,0.02,0.01,1,0,1,0
23,list,50MB.bin,5,1,0.01,0.01,5,0,5,0
24,list,50MB.bin,50,1,0.0,0.01,50,0,50,0
25,list,100MB.bin,1,1,0.03,0.01,1,0,1,0
26,list,100MB.bin,5,1,0.0,0.01,5,0,5,0
27,list,100MB.bin,50,1,0.0,0.01,50,0,50,0
28,download,10MB.bin,1,5,0.39,26693848.89,1,0,1,0
29,download,10MB.bin,5,5,0.63,22489818.42,5,0,5,0
30,download,10MB.bin,50,5,4.4,4868189.03,50,0,50,0
31,download,50MB.bin,1,5,1.47,35698215.05,1,0,1,0
32,download,50MB.bin,5,5,4.25,15756494.04,5,0,5,0
33,download,50MB.bin,50,5,37.38,3353807.31,50,0,50,0
34,download,100MB.bin,1,5,2.87,182749562.70,1,0,1,0
35,download,100MB.bin,5,5,8.32,100824423.54,5,0,5,0
36,download,100MB.bin,50,5,50.73,16537194.21,50,0,50,0
37,upload,10MB.bin,1,5,0.3,34749859.84,1,0,1,0
38,upload,10MB.bin,5,5,0.89,13046897.91,5,0,5,0
39,upload,10MB.bin,50,5,8.06,1524033.22,50,0,50,0
40,upload,50MB.bin,1,5,3.04,17244712.0,1,0,1,0
41,upload,50MB.bin,5,5,8.52,7412263.18,5,0,5,0
42,upload,50MB.bin,50,5,98.48,591754.01,48,2,48,2
43,upload,100MB.bin,1,5,5.87,14286848.39,1,0,1,0
44,upload,100MB.bin,5,5,14.26,5883480.57,4,1,4,1
45,upload,100MB.bin,50,5,117.31,715282.91,43,7,43,7
46,list,10MB.bin,1,5,0.01,0.01,1,0,1,0
47,list,10MB.bin,5,5,0.0,0.01,5,0,5,0
48,list,10MB.bin,50,5,0.0,0.01,50,0,50,0
49,list,50MB.bin,1,5,0.0,0.01,1,0,1,0
50,list,50MB.bin,5,5,0.0,0.01,5,0,5,0
51,list,50MB.bin,50,5,0.01,0.01,50,0,50,0
52,list,100MB.bin,1,5,0.02,0.01,1,0,1,0
53,list,100MB.bin,5,5,0.0,0.01,5,0,5,0
54,list,100MB.bin,50,5,0.0,0.01,50,0,50,0
55,download,10MB.bin,1,50,0.25,41976987.45,1,0,1,0
56,download,10MB.bin,5,50,0.59,22111295.14,5,0,5,0
57,download,10MB.bin,50,50,4.88,4637829.71,50,0,50,0
58,download,50MB.bin,1,50,3.0,17473006.16,1,0,1,0
59,download,50MB.bin,5,50,7.11,9149513.24,5,0,5,0
60,download,50MB.bin,50,50,47.1,2265625.22,50,0,50,0
61,download,100MB.bin,1,50,6.12,137045751.63,1,0,1,0
62,download,100MB.bin,5,50,14.89,56355403.22,5,0,5,0
63,download,100MB.bin,50,50,98.47,8518306.58,50,0,50,0
64,upload,10MB.bin,1,50,0.26,40366419.23,1,0,1,0
65,upload,10MB.bin,5,50,1.05,11102578.33,5,0,5,0
66,upload,10MB.bin,50,50,7.83,1526879.14,50,0,50,0
67,upload,50MB.bin,1,50,3.06,17141022.0,1,0,1,0
68,upload,50MB.bin,5,50,11.3,5693074.5,5,0,5,0
69,upload,50MB.bin,50,50,77.55,786547.38,44,6,44,6
70,upload,100MB.bin,1,50,6.12,13314367.52,1,0,1,0
71,upload,100MB.bin,5,50,17.45,4668074.56,4,1,4,1
72,upload,100MB.bin,50,50,110.78,734150.39,42,8,42,8
73,list,10MB.bin,1,50,0.03,0.01,1,0,1,0
74,list,10MB.bin,5,50,0.0,0.01,5,0,5,0
75,list,10MB.bin,50,50,0.0,0.01,50,0,50,0
76,list,50MB.bin,1,50,0.02,0.01,1,0,1,0
77,list,50MB.bin,5,50,0.01,0.01,5,0,5,0
78,list,50MB.bin,50,50,0.01,0.01,50,0,50,0
79,list,100MB.bin,1,50,0.01,0.01,1,0,1,0
80,list,100MB.bin,5,50,0.01,0.01,5,0,5,0
81,list,100MB.bin,50,50,0.0,0.01,50,0,50,0
